,금융회사,상품명,세전이자율,세후이자율,세후이자(예시),최고우대금리,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_km,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,전북은행,JB 123 정기예금 (만기일시지급식),-,-,-,4.27%,단리,24개월,2023-11-13,"마케팅추진부 마케팅추진팀, 063-250-7469 여신기획부, 063-250-7370 * 실제 상담은 인근 영업점이나 당행 콜센터(1588-4477)로 문의","자동재예치 우대이율 1회차 0.1%, 2회차 0.2%, 3회차 0.3%",실명의 개인 또는 개인사업자 (1인 다계좌 가입 가능함),온라인,"만기후 1개월 이하 : 만기일 현재 계약기간별 정기예금 실행이율 1/2
만기후 1개월 초과 : 연 0.01%","예금의 신규 : 인터넷뱅킹, 모바일뱅킹, 모바일웹, BDT
예금의 해지 : 인터넷뱅킹, 모바일뱅킹, 영업점
가입금액 최저 1백만원이상 고객별 5억원 이사 (다만 자동재예치시 이자 원가로 인한 5억원 초과는 가능), 계좌수 관계없이 가입가능",2,7,우대사항없음,,,,,,,,,,,,,,,,,,,,
1,대명상호저축은행,행복플러스 정기예금,4.75%,4.02%,"803,700",4.75%,단리,24개월,2023-01-13,총무계 0436405117,없음,1954년 이전출생자 및 비과세종합저축가입대상자(만64세이상/국가유공자/국민기초생활보장법에의한수급자/장애인/독립유공자과그유족또는가족/고엽제후유증환자 및 5.18민주화운동부상자),영업점,"- 만기 후 1개월 이하: 약정금리와 동일한 금리 적용
- 만기 후 1개월 초과: 보통예금이율",없음,4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,대명상호저축은행,행복플러스 정기예금,4.75%,4.02%,"841,370",4.75%,복리,24개월,2023-01-13,총무계 0436405117,없음,1954년 이전출생자 및 비과세종합저축가입대상자(만64세이상/국가유공자/국민기초생활보장법에의한수급자/장애인/독립유공자과그유족또는가족/고엽제후유증환자 및 5.18민주화운동부상자),영업점,"- 만기 후 1개월 이하: 약정금리와 동일한 금리 적용
- 만기 후 1개월 초과: 보통예금이율",없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
3,애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",4.35%,3.68%,"736,020",4.35%,단리,24개월,2023-11-13,ESG경영팀 0234852434,-,제한없음,온라인,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
4,애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",4.35%,3.68%,"767,534",4.35%,복리,24개월,2023-11-13,ESG경영팀 0234852434,-,제한없음,온라인,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
5,오케이저축은행,OK e-안심앱플러스정기예금(변동금리),4.31%,3.65%,"729,260",4.31%,단리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,개인,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함",3,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
6,오케이저축은행,OK e-안심앱플러스정기예금(변동금리),4.31%,3.65%,"760,182",4.31%,복리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,개인,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
7,오케이저축은행,OK e-안심정기예금(변동금리),4.31%,3.65%,"729,260",4.31%,단리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
8,오케이저축은행,OK e-안심정기예금(변동금리),4.31%,3.65%,"760,182",4.31%,복리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
9,오케이저축은행,OK안심정기예금(변동금리),4.31%,3.65%,"729,260",4.31%,단리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
