,금융회사,상품명,세전이자율,세후이자율,세후이자(예시),최고우대금리,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_km,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,대명상호저축은행,행복플러스 정기예금,5.20%,4.40%,"439,920",5.20%,단리,12개월,2023-01-13,총무계 0436405117,없음,1954년 이전출생자 및 비과세종합저축가입대상자(만64세이상/국가유공자/국민기초생활보장법에의한수급자/장애인/독립유공자과그유족또는가족/고엽제후유증환자 및 5.18민주화운동부상자),영업점,"- 만기 후 1개월 이하: 약정금리와 동일한 금리 적용
- 만기 후 1개월 초과: 보통예금이율",없음,4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
1,대명상호저축은행,행복플러스 정기예금,5.20%,4.40%,"450,558",5.20%,복리,12개월,2023-01-13,총무계 0436405117,없음,1954년 이전출생자 및 비과세종합저축가입대상자(만64세이상/국가유공자/국민기초생활보장법에의한수급자/장애인/독립유공자과그유족또는가족/고엽제후유증환자 및 5.18민주화운동부상자),영업점,"- 만기 후 1개월 이하: 약정금리와 동일한 금리 적용
- 만기 후 1개월 초과: 보통예금이율",없음,4,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,HB저축은행,스마트 6개월 회전정기예금,4.50%,3.81%,"388,651",4.50%,복리,12개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
3,HB저축은행,스마트 6개월 회전정기예금,4.50%,3.81%,"380,700",4.50%,단리,12개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
4,HB저축은행,e-6개월 회전정기예금,4.50%,3.81%,"380,700",4.50%,단리,12개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
5,HB저축은행,e-6개월 회전정기예금,4.50%,3.81%,"388,651",4.50%,복리,12개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
6,HB저축은행,6개월 회전정기예금,4.50%,3.81%,"388,651",4.50%,복리,12개월,2023-11-03,영업 18338889,해당사항없음,제한없음,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",영업점 가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
7,HB저축은행,6개월 회전정기예금,4.50%,3.81%,"380,700",4.50%,단리,12개월,2023-11-03,영업 18338889,해당사항없음,제한없음,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",영업점 가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
8,유니온상호저축은행,정기예금,4.40%,3.72%,"372,240",4.40%,단리,12개월,2023-11-09,"경영지원팀, 0532564000 (내선233)",없음,제한없음,영업점,"*1개월이내 : 약정이율과 현행이율중에 낮은금리
*1개월초과 : 보통예금이율","중도해지이율

- 2019년7월1일 이후 신규분
*1개월미만 : 계약일의 보통예금 이율
*1개월~3개월미만 : 약정이율의 50%
*3개월~6개월미만 : 약정이율의 55%
*6개월~24개월미만 : 약정이율의 60%
*24개월이상 : 약정이율의70%",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
9,유니온상호저축은행,정기예금,4.40%,3.72%,"379,839",4.40%,복리,12개월,2023-11-09,"경영지원팀, 0532564000 (내선233)",없음,제한없음,영업점,"*1개월이내 : 약정이율과 현행이율중에 낮은금리
*1개월초과 : 보통예금이율","중도해지이율

- 2019년7월1일 이후 신규분
*1개월미만 : 계약일의 보통예금 이율
*1개월~3개월미만 : 약정이율의 50%
*3개월~6개월미만 : 약정이율의 55%
*6개월~24개월미만 : 약정이율의 60%
*24개월이상 : 약정이율의70%",3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
