,금융회사,상품명,세전이자율,세후이자율,세후이자(예시),최고우대금리,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_km,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,오에스비저축은행,인터넷정기예금,4.50%,3.81%,"192,143",4.50%,복리,6개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,온라인,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
1,오에스비저축은행,인터넷정기예금,4.50%,3.81%,"190,350",4.50%,단리,6개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,온라인,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,오에스비저축은행,정기예금,4.50%,3.81%,"192,143",4.50%,복리,6개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,영업점,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
3,오에스비저축은행,정기예금,4.50%,3.81%,"190,350",4.50%,단리,6개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,영업점,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
4,조은저축은행,정기예금(서울본점),4.40%,3.72%,"186,120",4.40%,단리,6개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
5,조은저축은행,정기예금(서울본점),4.40%,3.72%,"187,834",4.40%,복리,6개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
6,스타저축은행,정기예금,4.35%,3.68%,"185,681",4.35%,복리,6개월,2023-11-06,융자부 0632776611,없음,제한없음,영업점,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
7,스타저축은행,정기예금,4.35%,3.68%,"184,005",4.35%,단리,6개월,2023-11-06,융자부 0632776611,없음,제한없음,영업점,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
8,스마트저축은행,정기예금,4.31%,3.65%,"182,315",4.31%,단리,6개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,영업점,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입한도 없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
9,스마트저축은행,정기예금,4.31%,3.65%,"183,958",4.31%,복리,6개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,영업점,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입한도 없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
