,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,경남은행,BNK 위더스(With-us)자유적금,정액적립식,-,-,-,6.55%,3.889756294842517,단리,12개월,2023-10-23,"리테일금융부(대출문의),055-290-8743 마케팅추진부(예·적금상품),1600-8585",①ESG 실천 우대금리 1.50% - 영업점 가입 및 증빙서류 지참 한하여 적용 (2023.8.17 ~ 2023.11.30 이후 0.5%) ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50%,개인 및 개인사업자,모두가능,"만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","1.계약기간은 1개월 이상 36개월 이내 월단위
2.1인 1계좌
3.매월 최소 1만원 이상, 최고 100만원 이하 (천원 단위)",2,2,"* 환경 : 0.5% [영업점 가입 및 증빙서류 지참]
* 최초거래 : 0.5% [당행 1년 이내 예적금 신규해지 이력 미보유]
* 기타 : 1.50% [공동가입]",,,,,0.5%,,,,,,,,,1.50%,,0.5%,,,,
1,오투저축은행,정기적금,정액적립식,5.00%,4.23%,"27,854",5.00%,0.8482780354853725,복리,12개월,2023-03-30,수신팀 (042-712-0260),-,- 신규계약(1인1계좌) - 영업점 가입가능 - 1만원~30만원까지,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율


[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지
* 2019년 7월 1일 이전 신규 -12개월 미만: 해지일의 보통예금 이율 -12개월 이상: 1.0%
* 2019년 7월 1일 신규분 부터 -1개월 미만: 보통예금이율 -1개월 이상~3개월 미만: 계약일의 약정이율의 50% -3개월 이상~12개월 미만: 계약일의 약정이율의 60% -12개월 이상: 계약일의 약정이율의 70%",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,오투저축은행,정기적금,정액적립식,5.00%,4.23%,"27,495",5.00%,3.047401270260086,단리,12개월,2023-03-30,수신팀 (042-712-0260),-,- 신규계약(1인1계좌) - 영업점 가입가능 - 1만원~30만원까지,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율


[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지
* 2019년 7월 1일 이전 신규 -12개월 미만: 해지일의 보통예금 이율 -12개월 이상: 1.0%
* 2019년 7월 1일 신규분 부터 -1개월 미만: 보통예금이율 -1개월 이상~3개월 미만: 계약일의 약정이율의 50% -3개월 이상~12개월 미만: 계약일의 약정이율의 60% -12개월 이상: 계약일의 약정이율의 70%",3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
3,더블저축은행,정기적금,정액적립식,4.80%,4.06%,"26,395",4.80%,2.9387102993462038,단리,12개월,2023-06-27,"영업6팀, 0622207236",없음,제한없음,영업점,"*만기경과 1개월이내 : 
- 해당 약정기간 정기적금 현행이율
*만기경과 1개월이후 : 보통예금 이율",예금자보호한도외 기타사항 없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
4,더블저축은행,"정기적금(인터넷뱅킹,비대면)",정액적립식,4.80%,4.06%,"26,395",4.80%,2.9387102993462038,단리,12개월,2023-06-27,"영업6팀, 0622207236",없음,제한없음,온라인,"*만기경과 1개월이내 : 
- 해당 약정기간 정기적금 현행이율
*만기경과 1개월이후 : 보통예금 이율",예금자보호한도외 기타사항 없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
5,동양저축은행,정기적금,정액적립식,4.80%,4.06%,"26,395",4.80%,2.9387102993462038,단리,12개월,2023-03-28,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
6,동양저축은행,"정기적금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",정액적립식,4.80%,4.06%,"26,395",4.80%,2.9387102993462038,단리,12개월,2023-03-28,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
7,조흥저축은행,정기적금,정액적립식,4.80%,4.06%,"26,395",4.80%,2.9387102993462038,단리,12개월,2023-05-19,수신팀 0556454411,-,제한없음,온라인,"만기후1개월이내 약정금리와 현행고시금리중 낮은 이율
1개월초과시 보통예금 이자율 적용",제한없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
8,청주저축은행,정기적금,정액적립식,4.80%,4.06%,"26,395",4.80%,2.9387102993462038,단리,12개월,2023-11-06,"(총무팀,043-256-9114)",없음,제한없음,모두가능,만기 후 : 1%,제한없음,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
9,청주저축은행,펫팸정기적금_천안지점,정액적립식,4.80%,4.06%,"26,395",4.80%,2.9387102993462038,단리,12개월,2023-11-06,"(총무팀,043-256-9114)",본 상품 가입 시 우대금리 0.2% 적용,반려동물을 키우는 지점방문고객(개인),영업점,만기 후 : 1%,제한없음,4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
