,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,경남은행,BNK 위더스(With-us)자유적금,정액적립식,-,-,-,6.65%,3.816167259817039,단리,24개월,2023-10-23,"리테일금융부(대출문의),055-290-8743 마케팅추진부(예·적금상품),1600-8585",①ESG 실천 우대금리 1.50% - 영업점 가입 및 증빙서류 지참 한하여 적용 (2023.8.17 ~ 2023.11.30 이후 0.5%) ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50%,개인 및 개인사업자,모두가능,"만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","1.계약기간은 1개월 이상 36개월 이내 월단위
2.1인 1계좌
3.매월 최소 1만원 이상, 최고 100만원 이하 (천원 단위)",2,8,"* 환경 : 0.5% [ ESG 영업점 가입 및 증빙서류 지참] 
* 최초거래 : 0.5% [ 당행 1년이내 예적금 신규해지 이력 미보유 ] 
* 기타 : 1.5% [공동가입]",,,,,0.5%,,,,,,,,,1.5%,,0.5%,,,,
1,동양저축은행,정기적금,정액적립식,4.80%,4.06%,"101,520",4.80%,2.876405245111036,단리,24개월,2023-03-28,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,동양저축은행,"정기적금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",정액적립식,4.80%,4.06%,"101,520",4.80%,2.876405245111036,단리,24개월,2023-03-28,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
3,조흥저축은행,정기적금,정액적립식,4.80%,4.06%,"101,520",4.80%,2.876405245111036,단리,24개월,2023-05-19,수신팀 0556454411,-,제한없음,온라인,"만기후1개월이내 약정금리와 현행고시금리중 낮은 이율
1개월초과시 보통예금 이자율 적용",제한없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
4,대신저축은행,스마트정기적금,정액적립식,4.70%,3.98%,"99,405",4.70%,2.825362619669236,단리,24개월,2023-07-03,경영지원부 1644-5600,없음,스마트뱅크 가입고객,온라인,"* 만기후 1개월이내: 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월초과: 만기시점 보통예금 이율 (현재 0.1%)",가입채널 제한 (모바일앱전용상품),4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
5,대신저축은행,정기적금,정액적립식,4.70%,3.98%,"99,405",4.70%,2.825362619669236,단리,24개월,2023-07-03,경영지원부 1644-5600,없음,모든고객,모두가능,"* 만기후 1개월이내: 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월초과: 만기시점 보통예금 이율 (현재 0.1%)",없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
6,CK저축은행,정기적금,정액적립식,4.70%,3.98%,"99,405",4.70%,2.825362619669236,단리,24개월,2023-06-19,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
7,CK저축은행,정기적금,정액적립식,4.70%,3.98%,"99,405",4.70%,2.825362619669236,단리,24개월,2023-11-07,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
8,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.70%,3.98%,"99,405",4.70%,2.825362619669236,단리,24개월,2023-06-19,"영업부,0332528411",없음,제한없음,온라인,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
9,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.70%,3.98%,"99,405",4.70%,2.825362619669236,단리,24개월,2023-11-07,"영업부,0332528411",없음,제한없음,온라인,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
