,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
0,경남은행,BNK 위더스(With-us)자유적금,정액적립식,-,-,-,6.75%,3.785018473370716,단리,36개월,2023-10-23,"리테일금융부(대출문의),055-290-8743 마케팅추진부(예·적금상품),1600-8585",①ESG 실천 우대금리 1.50% - 영업점 가입 및 증빙서류 지참 한하여 적용 (2023.8.17 ~ 2023.11.30 이후 0.5%) ②신규고객 우대금리 0.50% - 당행 1년 이내예적금(청약포함)신규해지 이력미보유 ③공동가입우대금리 1.50%,개인 및 개인사업자,모두가능,"만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","1.계약기간은 1개월 이상 36개월 이내 월단위
2.1인 1계좌
3.매월 최소 1만원 이상, 최고 100만원 이하 (천원 단위)",2,7,"* 환경 : 0.5% [ESG/영업점 가입, 증빙서류 지참]
* 최초거래 : 0.50% [당행 1년 이내예적금(청약포함)신규해지 이력미보유]
* 기타 : 1.50% [공동가입]",,,,,0.50%,,,,,,,,,1.50%,,0.5%,,,,
1,아산저축은행,꿈나무장학적금,정액적립식,5.00%,4.23%,"234,765",5.00%,2.9326646954575653,단리,36개월,2022-11-15,영업부0415379000,없음,1~19세,영업점,"1개월 내 : 가입시점, 만기시점 비교 낮은 단리이율 적용, 이후 보통예금 금리 적용",없음,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
2,아산저축은행,꿈나무장학적금,정액적립식,5.00%,4.23%,"244,716",5.00%,0.8158753996739376,복리,36개월,2022-11-15,영업부0415379000,없음,1~19세,영업점,"1개월 내 : 가입시점, 만기시점 비교 낮은 단리이율 적용, 이후 보통예금 금리 적용",없음,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
3,동양저축은행,정기적금,정액적립식,4.80%,4.06%,"225,374",4.80%,2.8343500971011792,단리,36개월,2023-03-28,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
4,동양저축은행,"정기적금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",정액적립식,4.80%,4.06%,"225,374",4.80%,2.8343500971011792,단리,36개월,2023-03-28,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
5,예가람저축은행,Hi!예가람 e정기적금,정액적립식,4.80%,4.06%,"225,374",4.80%,2.8343500971011792,단리,36개월,2023-10-04,"영업추진팀, 공시담당:0269067000, 상품문의:1877-7788",비대면가입,제한없음,온라인,"* 만기후 1개월 이내 : 가입당시 약정금리
* 만기후 1개월 초과 : 보통예금금리","인터넷뱅킹, 스마트폰",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
6,CK저축은행,정기적금,정액적립식,4.80%,4.06%,"225,374",4.80%,2.8343500971011792,단리,36개월,2023-06-19,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
7,CK저축은행,정기적금,정액적립식,4.80%,4.06%,"225,374",4.80%,2.8343500971011792,단리,36개월,2023-11-07,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
8,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.80%,4.06%,"225,374",4.80%,2.8343500971011792,단리,36개월,2023-06-19,"영업부,0332528411",없음,제한없음,온라인,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
9,CK저축은행,"정기적금(인터넷,모바일,비대면)",정액적립식,4.80%,4.06%,"225,374",4.80%,2.8343500971011792,단리,36개월,2023-11-07,"영업부,0332528411",없음,제한없음,온라인,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
10,대신저축은행,스마트정기적금,정액적립식,4.70%,3.98%,"220,679",4.70%,2.7851222240626194,단리,36개월,2023-07-03,경영지원부 1644-5600,없음,스마트뱅크 가입고객,온라인,"* 만기후 1개월이내: 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월초과: 만기시점 보통예금 이율 (현재 0.1%)",가입채널 제한 (모바일앱전용상품),4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
11,대신저축은행,정기적금,정액적립식,4.70%,3.98%,"220,679",4.70%,2.7851222240626194,단리,36개월,2023-07-03,경영지원부 1644-5600,없음,모든고객,모두가능,"* 만기후 1개월이내: 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월초과: 만기시점 보통예금 이율 (현재 0.1%)",없음,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
12,금화저축은행,비대면-정기적금,정액적립식,4.60%,3.89%,"215,984",4.60%,2.735847151438664,단리,36개월,2023-11-10,"경영지원팀,032-452-6043",-,비대면 어플사용자,온라인,"- 만기 후 1개월 이내 : 약정금리
- 만기 후 1개월 초과 : 보통예금 이율",스마트폰으로 비대면어플 사용자만 신규가능,1,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
13,금화저축은행,e-정기적금,정액적립식,4.60%,3.89%,"215,984",4.60%,2.735847151438664,단리,36개월,2023-11-10,"경영지원팀,032-452-6043",-,인터넷 및 모바일뱅킹 사용자,온라인,"- 만기 후 1개월 이내 : 약정금리
- 만기 후 1개월 초과 : 보통예금 이율",없음,1,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
14,금화저축은행,e-행복더드림정기적금,정액적립식,4.60%,3.89%,"215,984",4.60%,2.735847151438664,단리,36개월,2023-11-10,"경영지원팀,032-452-6043","인터넷, 모바일 전용상품",인터넷 및 모바일뱅킹 사용자,온라인,"- 만기 후 1개월 이내 : 약정금리
- 만기 후 1개월 초과 : 보통예금 이율","- 인터넷 및 모바일뱅킹 전용 상품
- 1인당 최고 월 100만원 불입 가능",1,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
15,금화저축은행,정기적금,정액적립식,4.50%,3.81%,"211,289",4.50%,2.686524765929188,단리,36개월,2023-11-10,"경영지원팀,032-452-6043",창구전용상품,제한없음,영업점,"- 만기 후 1개월 이내 : 약정금리
- 만기 후 1개월 초과 : 보통예금 이율",없음,1,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
16,다올저축은행,Fi 정기적금 (비대면),정액적립식,4.50%,3.81%,"211,289",4.50%,2.686524765929188,단리,36개월,2023-03-03,(고객문의) 1544-6700 (공시담당) 기획팀,"※유의사항 : 인터넷뱅킹,모바일뱅킹(다올디지털뱅크_Fi/SB톡톡)으로 가입가능",제한없음,온라인,"- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 중도해지이율 (입금액마다 경과기간별 차등 적용)
- 1개월미만 : 가입일의 보통예금 금리
- 6개월미만 : 약정이율X50%
- 9개월미만 : 약정이율X55%
- 12개월미만 : 약정이율X60%
- 12개월이상 : 약정이율X70%",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
17,인성저축은행,정기적금,정액적립식,4.50%,3.81%,"211,289",4.50%,2.686524765929188,단리,36개월,2023-02-17,경영기획부 032-865-3911,없음,-제한없음,영업점,-보통예금이율 0.1%,-없음,2,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
18,인성저축은행,e-정기적금,정액적립식,4.50%,3.81%,"211,289",4.50%,2.686524765929188,단리,36개월,2023-02-17,경영기획부 032-865-3911,없음,-만19세이상의 개인,온라인,-보통예금이율 0.1%,-통장을 발급하지 않는 온라인 전용상품으로 영업점 해지시 우대금리 적용불가,2,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
